id,theme,scenario_id,scenario_text,question_number,question,option_a,option_b,option_c,option_d,correct_answer,feedback_correct,feedback_incorrect
73,Chirurgie orthopédique,ORT001,"Mme Bouchard, 68 ans, post-op PTH gauche (J0). Douleur importante, pâleur, pied froid, pouls pédieux absent.",1,Intervention prioritaire ?,Analgesie d’abord,Aviser immédiatement le chirurgien,Glace uniquement,Surélever la jambe,B,Correct! Suspicion d’ischémie aiguë.,Revoir : Complications vasculaires post-orthopédie.
74,Chirurgie orthopédique,ORT001,"Mme Bouchard, 68 ans, post-op PTH gauche (J0). Douleur importante, pâleur, pied froid, pouls pédieux absent.",2,Donnée à documenter en priorité ?,Couleur et température du pied,Pansement,Score douleur seulement,Température centrale,A,Correct! Perfusion distale.,Revoir : Surveillance neurovasculaire.
75,Chirurgie orthopédique,ORT001,"Mme Bouchard, 68 ans, post-op PTH gauche (J0). Douleur importante, pâleur, pied froid, pouls pédieux absent.",3,Conséquence d’un retard d’intervention ?,Embolie pulmonaire,Perte du membre,Pneumonie,Hypoglycémie,B,Correct! Ischémie prolongée → nécrose.,Revoir : Urgence vasculaire post-op.
76,Médecine et chirurgie,MED002,"M. Roy, 74 ans, vomissements, diarrhées 3 jours, TA 88/56, FC 116, diurèse 0,3 mL/kg/h.",1,Hypothèse la plus probable ?,IRA prérénale par hypovolémie,IRA postrénale,Glomérulonéphrite,Syndrome néphrotique,A,Correct! Déshydratation + oligurie.,Revoir : IRA prérénale – signes et prise en charge.
77,Médecine et chirurgie,MED002,"M. Roy, 74 ans, vomissements, diarrhées 3 jours, TA 88/56, FC 116, diurèse 0,3 mL/kg/h.",2,Intervention prioritaire ?,Diurétiques IV,"Remplissage NaCl 0,9 %",Restriction hydrique,AINS,B,Correct! Réanimation volémique.,Revoir : Hypovolémie et IRA.
78,Médecine et chirurgie,MED002,"M. Roy, 74 ans, vomissements, diarrhées 3 jours, TA 88/56, FC 116, diurèse 0,3 mL/kg/h.",3,"Calcul : poids 70 kg; diurèse souhaitée ≥0,5 mL/kg/h. Volume minimal/h ?",25 mL/h,35 mL/h,50 mL/h,75 mL/h,C,"Correct! 0,5 × 70 = 35 mL/h (Ajuster).",Revoir : Seuils de diurèse en choc/IRA.
79,Obstétrique,PER003,"Mme Roy, 39 SA, travail actif : dilatation 6 cm, contractions q3 min, FCF 170 bpm. Température 38,2 °C.",1,Intervention prioritaire ?,Décubitus dorsal,Oxygène et monitorage continu FCF,Marche,Épidurale immédiate,B,Correct! Suspicion d’infection/soffrance → monitorage + O₂.,Revoir : Tachycardie fœtale – conduite.
80,Obstétrique,PER003,"Mme Roy, 39 SA, travail actif : dilatation 6 cm, contractions q3 min, FCF 170 bpm. Température 38,2 °C.",2,Donnée à recueillir en priorité ?,Température maternelle,Saignement,TA,Glucose,A,Correct! Fièvre maternelle = cause fréquente de tachycardie fœtale.,Revoir : Signes d’infection en travail.
81,Obstétrique,PER003,"Mme Roy, 39 SA, travail actif : dilatation 6 cm, contractions q3 min, FCF 170 bpm. Température 38,2 °C.",3,Mesure complémentaire pertinente ?,Antibiotiques selon protocole si chorioamniotite,Jeûne strict,Sortie à domicile,Tocolyse systématique,A,Correct! Suspicion chorioamniotite.,Revoir : Infections intra-utérines.
82,Infectiologie,INF002,"Mme Denis, 32 ans, fièvre 39 °C, douleur lombaire, dysurie. TA 112/68, FR 18. Analyse urine: nitrites+, leucocytes+.",1,Diagnostic probable ?,Cystite non compliquée,Pyélonéphrite aiguë,Lithiase asymptomatique,Glomérulonéphrite,B,Correct! Fièvre + douleur lombaire + BU positive.,Revoir : Pyélonéphrite – signes et traitement.
83,Infectiologie,INF002,"Mme Denis, 32 ans, fièvre 39 °C, douleur lombaire, dysurie. TA 112/68, FR 18. Analyse urine: nitrites+, leucocytes+.",2,Intervention prioritaire ?,Antibiothérapie IV/PO selon sévérité,Antalgique seul,Attendre sans traiter,Diurétiques,A,Correct! Antibiothérapie rapide.,Revoir : Prise en charge pyélonéphrite.
84,Infectiologie,INF002,"Mme Denis, 32 ans, fièvre 39 °C, douleur lombaire, dysurie. TA 112/68, FR 18. Analyse urine: nitrites+, leucocytes+.",3,Éducation clé ?,Diminuer hydratation,Hydratation adéquate et signes d’alarme,Arrêt des antibiotiques dès amélioration,Aucune culture nécessaire,B,Correct! Hydratation + suivi.,Revoir : Conseils pyélonéphrite.
85,Médecine et chirurgie,MED003,"M. G., 72 ans, warfarine; saignements gingivaux; INR 6,1. Hémodynamiquement stable.",1,Conduite prioritaire ?,Poursuivre AVK,Arrêt temporaire + vitamine K,Doubler la dose,Ne rien faire,B,Correct! Surdosage avec saignement.,Revoir : Gestion surdosage AVK.
86,Médecine et chirurgie,MED003,"M. G., 72 ans, warfarine; saignements gingivaux; INR 6,1. Hémodynamiquement stable.",2,Surveillance prioritaire ?,Sommeil,Appétit,Signes d’hémorragie,Douleur chronique,C,Correct! Risque d’hémorragie majeure.,Revoir : Surveillance anticoagulants.
87,Médecine et chirurgie,MED003,"M. G., 72 ans, warfarine; saignements gingivaux; INR 6,1. Hémodynamiquement stable.",3,Éducation ?,Augmenter aliments riches en vitamine K sans avis,Interaction avec antibiotiques et alcool,Arrêter définitivement l’AVK,Boire moins d’eau,B,Correct! Certaines interactions augmentent l’INR.,Revoir : Interactions AVK.
88,Santé communautaire / Santé publique,COM002,"M. N., 34 ans, logement communautaire, toux chronique, perte de poids. Suspicion de tuberculose; prélèvements en cours.",1,Mesure de santé publique appropriée ?,Isolement respiratoire,Aucune précaution,Isolement contact seulement,Sortie immédiate,A,Correct! Isolement aérien (gouttelettes fines).,Revoir : TB – précautions et santé publique.
89,Santé communautaire / Santé publique,COM002,"M. N., 34 ans, logement communautaire, toux chronique, perte de poids. Suspicion de tuberculose; prélèvements en cours.",2,Éducation clé ?,Arrêter traitement dès amélioration,Adhérence stricte (DOT si nécessaire),Aucun suivi nécessaire,Éviter toute vaccination,B,Correct! Observance indispensable pour éviter résistances.,Revoir : TB – observance thérapeutique.
90,Santé communautaire / Santé publique,COM002,"M. N., 34 ans, logement communautaire, toux chronique, perte de poids. Suspicion de tuberculose; prélèvements en cours.",3,Contact tracing ?,Inutile,Organisé par santé publique,Famille seulement,À la discrétion du patient,B,Correct! Traçage sous responsabilité de santé publique.,Revoir : TB – dépistage des contacts.
91,Éthique et aspects légaux,ETH002,Une erreur de médication (dose doublée) a été commise et constatée par l’infirmière. Le patient est stable.,1,Conduite professionnelle ?,Cacher l’erreur,"Informer le patient et l’équipe, documenter",Effacer la trace au dossier,Blâmer un collègue,B,Correct! Transparence et déclaration.,Revoir : Déontologie – divulgation d’un événement indésirable.
92,Éthique et aspects légaux,ETH002,Une erreur de médication (dose doublée) a été commise et constatée par l’infirmière. Le patient est stable.,2,Priorité clinique ?,Évaluer le patient et surveiller effets indésirables,Fermer le dossier,Changer d’unité,Aucune mesure,A,Correct! Sécurité du patient d’abord.,Revoir : Gestion des incidents et sécurité.
93,Éthique et aspects légaux,ETH002,Une erreur de médication (dose doublée) a été commise et constatée par l’infirmière. Le patient est stable.,3,Prévention ?,Désactiver codes-barres,Vérification indépendante haut-risque,Supprimer la double vérification,Étiquetage minimal,B,Correct! Meds haut-risque = double vérification.,Revoir : Sécurité médicamenteuse.
94,Urgences / Soins critiques,ALL001,"M. C., 34 ans, après injection d’antibiotique : urticaire généralisée, stridor, TA 78/46, SpO₂ 88% AA. Antécédents d’allergies : inconnus.",1,Intervention IMMEDIATE prioritaire ?,Adrénaline IM face antérolatérale cuisse,Antihistaminique IV,Corticostéroïde IV,Oxygène seul,A,Correct! Adrénaline IM est le traitement de première intention.,Revoir : Anaphylaxie – protocole initial (adrénaline IM).
95,Médecine et chirurgie,ALL001,"M. C., 34 ans, après injection d’antibiotique : urticaire généralisée, stridor, TA 78/46, SpO₂ 88% AA. Antécédents d’allergies : inconnus.",2,Oxygénothérapie recommandée en phase aiguë ?,O₂ haut débit selon saturation,Air ambiant,Hélium seul,Venturi 24% fixe,A,Correct! Assurer une oxygénation adéquate en urgence.,Revoir : Oxygénothérapie en anaphylaxie.
96,Pharmacologie / Calculs,ALL001,"M. C., 34 ans, après injection d’antibiotique : urticaire généralisée, stridor, TA 78/46, SpO₂ 88% AA. Antécédents d’allergies : inconnus.",3,"Adrénaline 1 mg/mL (1:1000). Dose adulte 0,5 mg IM. Quel volume ?","0,05 mL","0,5 mL",1 mL,5 mL,B,"Correct! 0,5 mg ÷ 1 mg/mL = 0,5 mL.",Revoir : Calculs de doses d’adrénaline IM (1:1000).
97,Respiratoire,RES002,"Jeune homme, 22 ans, douleur thoracique latérale droite, dyspnée soudaine. SpO₂ 92% AA, MV diminué à droite, tympanisme. Fumeur.",1,Hypothèse la plus probable ?,Pneumonie,Infarctus du myocarde,Pneumothorax spontané,Embolie pulmonaire,C,Correct! Tableau typique de pneumothorax.,"Revoir : Sémiologie pneumothorax (MV ↓, tympanisme)."
98,Urgences / Soins critiques,RES002,"Jeune homme, 22 ans, douleur thoracique latérale droite, dyspnée soudaine. SpO₂ 92% AA, MV diminué à droite, tympanisme. Fumeur.",2,Surveillance prioritaire en attendant le geste médical ?,TA seulement,SpO₂ et signes de détresse,Poids,Périmètre abdominal,B,Correct! Risque d’aggravation respiratoire.,Revoir : Surveillance respiratoire aiguë.
99,Communication et relation thérapeutique,RES002,"Jeune homme, 22 ans, douleur thoracique latérale droite, dyspnée soudaine. SpO₂ 92% AA, MV diminué à droite, tympanisme. Fumeur.",3,Éducation pertinente après prise en charge ?,Poursuivre tabac sans impact,Éviter vols/Plongée avant contrôle médical,Arrêt activité physique à vie,Aucune restriction,B,Correct! Éviter pression/altitude tant que non résolu.,Revoir : Recommandations après pneumothorax.
100,Médecine et chirurgie,MED004,"M. A., 69 ans, insuffisance rénale chronique, faiblesse musculaire. ECG : ondes T pointues. K+ sérique 6,8 mmol/L, TA 138/82.",1,Mesure prioritaire en présence d’ECG anormal ?,Résines échangeuses seules,Gluconate de calcium IV,Diurétiques thiazidiques,Restriction hydrique,B,Correct! Stabiliser la membrane myocardique d’abord.,Revoir : Hyperkaliémie – séquence de traitement.
101,Pharmacologie / Calculs,MED004,"M. A., 69 ans, insuffisance rénale chronique, faiblesse musculaire. ECG : ondes T pointues. K+ sérique 6,8 mmol/L, TA 138/82.",2,"Insuline régulière 10 U IV + dextrose 25 g. Ampoule D50W (0,5 g/mL). Quel volume pour 25 g ?",25 mL,40 mL,50 mL,100 mL,C,"Correct! 25 g ÷ 0,5 g/mL = 50 mL.",Revoir : Hyperkaliémie – insuline + dextrose (calculs).
102,Périnatalité,PER004,"Mme T., 35 SA, céphalées, phosphènes, TA 170/110, œdèmes, protéinurie +. Prescription : sulfate de magnésium, repos, surveillance fœtale.",1,Surveillance prioritaire sous MgSO₄ ?,"FR, ROT, diurèse",Température axillaire uniquement,Glycémie horaire,Selles,A,Correct! Prévenir toxicité respiratoire/neurologique.,Revoir : Toxicité MgSO₄ et antidote (gluconate Ca²⁺).
103,Éthique et aspects légaux,PER004,"Mme T., 35 SA, céphalées, phosphènes, TA 170/110, œdèmes, protéinurie +. Prescription : sulfate de magnésium, repos, surveillance fœtale.",2,Consentement en cas de détresse imminente (Québec) ?,Toujours consentement écrit,Impossibilité d’agir,Soins requis peuvent être donnés,Attendre le conjoint,C,"Correct! En urgence, soins requis possibles selon la loi.",Revoir : Consentement aux soins – situation d’urgence.
104,Santé mentale,PSY003,"M. V., 32 ans, agitation, idées délirantes, hallucinations auditives. Non coopérant, refuse le traitement. Aucun signe d’hypoglycémie ou hypoxie.",1,Intervention prioritaire ?,Contention immédiate sans évaluation,Assurer sécurité + approche calme + évaluation risque,Ignorer et quitter la chambre,Argumenter de force,B,Correct! Sécurité et désescalade d’abord.,Revoir : Psychose aiguë – approche sécuritaire.
105,Gestion et organisation des soins,PSY003,"M. V., 32 ans, agitation, idées délirantes, hallucinations auditives. Non coopérant, refuse le traitement. Aucun signe d’hypoglycémie ou hypoxie.",2,Organisation optimale ?,"Approche par un seul intervenant, corridor bondé","Minimiser stimuli, équipe prête et coordonnée",Famille nombreuse dans la chambre,Aucune préparation,B,"Correct! Réduire stimuli, coordonner l’équipe.",Revoir : Désescalade et environnement thérapeutique.
106,Pédiatrie,PED004,"Nouveau-né 36 h, hypothermie 35,8 °C, léthargie, succion faible. Mère : rupture prématurée des membranes 28 h.",1,Conduite prioritaire ?,Attente et observation,Antibiothérapie IV empirique après prélèvements,Sortie à domicile,Dextrose PO seulement,B,Correct! Antibiothérapie rapide après prélèvements.,Revoir : Suspicion de sepsis néonatal – prise en charge.
107,Pharmacologie / Calculs,PED004,"Nouveau-né 36 h, hypothermie 35,8 °C, léthargie, succion faible. Mère : rupture prématurée des membranes 28 h.",2,"Amikacine 15 mg/kg/dose. Poids 3,2 kg. Dose (mg) ?",24 mg,32 mg,48 mg,64 mg,C,"Correct! 15 × 3,2 = 48 mg.",Revoir : Calculs mg/kg en néonatalogie.
108,Médecine et chirurgie,MED005,"M. N., 62 ans, diabète mal contrôlé, ulcère plantaire infecté, HbA1c 9,2%. TA 128/76, T 38,2 °C.",1,Priorité de soins ?,Décharge (offloading) + soins de plaie + antibiothérapie,Marche intensive,Pansement sec uniquement,Automédication AINS,A,Correct! Approche combinée nécessaire.,Revoir : Plaies du pied diabétique – prise en charge.
109,Santé communautaire / Santé publique,MED005,"M. N., 62 ans, diabète mal contrôlé, ulcère plantaire infecté, HbA1c 9,2%. TA 128/76, T 38,2 °C.",2,Éducation essentielle ?,Arrêter inspection des pieds,"Inspection quotidienne, chaussage adapté, contrôle glycémique",Alcool sur plaie,Baignades prolongées,B,Correct! Prévenir récidive et aggravation.,Revoir : Prévention complications pied diabétique.
110,Pharmacologie / Calculs,HEM001,"Mme J., 74 ans, TVP confirmée. Prescription : Héparine non fractionnée, seringue de perfusion 25 000 UI dans 250 mL. Débit initial 1000 UI/h.",1,Quel débit mL/h correspond à 1000 UI/h ?,5 mL/h,10 mL/h,20 mL/h,40 mL/h,B,Correct! 25 000 UI/250 mL = 100 UI/mL → 1000 UI/h = 10 mL/h.,Revoir : Conversion UI/h → mL/h (héparine).
111,Médecine et chirurgie,HEM001,"Mme J., 74 ans, TVP confirmée. Prescription : Héparine non fractionnée, seringue de perfusion 25 000 UI dans 250 mL. Débit initial 1000 UI/h.",2,Surveillance prioritaire au début de traitement ?,EVA douleur,"Saignements, Hb/plaquettes",Glycémie,IMC,B,Correct! Risque hémorragique et thrombopénie induite.,Revoir : Anticoagulation – surveillance initiale.
112,Urgences / Soins critiques,URG004,"Adolescent 15 ans, brûlure thermique du tronc et des membres supérieurs estimée à ~15 % de surface corporelle. Douleur 8/10, TA 118/70, FC 110, FR 22.",1,Priorité initiale ?,Refroidir doucement la zone et analgésie,Pommade grasse immédiatement,Glace prolongée directe,Percer systématiquement les phlyctènes,A,Correct! Refroidissement doux + analgésie rapide.,Revoir : Premiers soins en brûlures (éviter hypothermie).
113,Gestion et organisation des soins,URG004,"Adolescent 15 ans, brûlure thermique du tronc et des membres supérieurs estimée à ~15 % de surface corporelle. Douleur 8/10, TA 118/70, FC 110, FR 22.",2,Indication d’orientation vers centre spécialisé ?,"Brûlures des mains/visage/périnée, étendues ou profondes",Uniquement si douleur >7/10,Jamais chez l’adolescent,Seulement si fièvre,A,Correct! Localisations/étendue/profondeur guident la référence.,Revoir : Critères de transfert brûlés.
114,Infectiologie,INF003,"Mme P., 26 ans, dysurie, pollakiurie, brûlures mictionnelles, afébrile. Test bandelette : nitrites+, leucocytes+.",1,Conduite appropriée ?,Antibiothérapie courte + hydratation,Diurétiques,Observation sans traitement,Hospitalisation systématique,A,Correct! Cystite simple : traitement court et hydratation.,Revoir : Cystite non compliquée – prise en charge.
115,Communication et relation thérapeutique,INF003,"Mme P., 26 ans, dysurie, pollakiurie, brûlures mictionnelles, afébrile. Test bandelette : nitrites+, leucocytes+.",2,Conseil ?,Limiter l’hydratation,Poursuivre hygiène mictionnelle et hydratation,Antibiotiques à chaque symptôme,Aucun suivi nécessaire,B,Correct! Mesures préventives simples utiles.,Revoir : Prévention récidives cystite.
116,Urgences / Soins critiques,GAST001,"M. F., 64 ans, méléna, lipothymies. ATCD : AINS, alcool. TA 88/54, FC 124. Hb 84 g/L.",1,Priorité ?,Remplissage IV et préparation transfusionnelle,Donner laxatif,Alimentation PO,Sortie,A,Correct! Instabilité hémodynamique → réanimation.,Revoir : Hémorragie digestive – prise en charge initiale.
117,Médecine et chirurgie,GAST001,"M. F., 64 ans, méléna, lipothymies. ATCD : AINS, alcool. TA 88/54, FC 124. Hb 84 g/L.",2,Surveillance clé ?,Diurèse horaire,Périmètre crânien,Échelle CIWA-Ar,Score Braden,A,Correct! Suivi perfusion rénale.,Revoir : Choc hypovolémique – surveillance diurèse.
118,Pharmacologie / Calculs,PED005,"Fillette 6 ans, 20 kg, otite moyenne aiguë. Prescrire amoxicilline 45 mg/kg/jour en 2 prises.",1,Dose par prise (mg) ?,200 mg,450 mg,600 mg,900 mg,B,Correct! 45×20=900 mg/jour → 900/2 = 450 mg/prise.,Revoir : Calculs pédiatriques mg/kg/jour en prises fractionnées.
119,Pharmacologie / Calculs,URG005,"Patient 70 kg en choc septique, noradrénaline 0,2 mcg/kg/min prescrite. Préparation : 8 mg dans 100 mL (80 mcg/mL).",1,Quel débit mL/h ?,"6,3 mL/h","8,8 mL/h","10,5 mL/h","15,0 mL/h",C,"Correct! 0,2×70=14 mcg/min → ×60=840 mcg/h ; 840/80 = 10,5 mL/h.",Revoir : Conversion mcg/kg/min en mL/h selon concentration.
120,Médecine et chirurgie,SUR002,"Mme R., 53 ans, J0 post-op. Entrées 1800 mL (IV+PO). Sorties: urines 900 mL, drain 150 mL, pertes estimées 300 mL.",1,Bilan hydrique net (mL) ?,+450 mL,+600 mL,+750 mL,+900 mL,A,Correct! 1800 - (900+150+300) = +450 mL.,Revoir : Calcul de bilan I/E en post-op.
121,Gestion et organisation des soins,SUR002,"Mme R., 53 ans, J0 post-op. Entrées 1800 mL (IV+PO). Sorties: urines 900 mL, drain 150 mL, pertes estimées 300 mL.",2,Surveillance prioritaire les premières heures ?,Douleur chronique,Diurèse et signes d’hypoperfusion,Appétit,Couleur des ongles,B,Correct! Perfusion rénale et stabilité hémodynamique.,Revoir : Surveillance post-op immédiat.
122,Éthique et aspects légaux,ETH003,"M. P., 52 ans, orienté dans le temps et l’espace, refuse une transfusion sanguine. Il comprend les risques.",1,Conduite conforme ?,Forcer le traitement,Respecter le refus et documenter consentement éclairé,Cacher l’information,Obtenir consentement de la famille,B,Correct! Respect de l’autonomie et documentation.,Revoir : Consentement et refus de traitement (Québec).
123,Communication et relation thérapeutique,ETH003,"M. P., 52 ans, orienté dans le temps et l’espace, refuse une transfusion sanguine. Il comprend les risques.",2,Approche recommandée ?,Attitude jugeante,Explorer valeurs/craintes et proposer alternatives,Menacer de poursuites,Éviter toute discussion,B,Correct! Communication centrée sur la personne.,Revoir : Alliance thérapeutique et décisions partagées.
