id,theme,scenario_id,scenario_text,question_number,question,option_a,option_b,option_c,option_d,correct_answer,feedback_correct,feedback_incorrect
37,Infectiologie,INF001,"Mme Girard, 48 ans, toux productive, fièvre 38,5 °C, FR 24/min, SpO₂ 91% AA. Rx Thorax: foyer alvéolaire lobaire.",1.0,Intervention prioritaire ?,Antibiothérapie selon protocole,Antitussif anticholinergique,Jeûne strict,Diurétiques,A,Correct! Antibiothérapie empirique rapidement.,"Raisonner selon la sécurité du patient, les priorités ABC, et les protocoles du milieu. Identifier le problème principal, appliquer l’intervention recommandée et surveiller la réponse clinique. Revoir : lignes directrices du domaine concerné. Revoir : Pneumonie communautaire – prise en charge."
38,Infectiologie,INF001,"Mme Girard, 48 ans, toux productive, fièvre 38,5 °C, FR 24/min, SpO₂ 91% AA. Rx Thorax: foyer alvéolaire lobaire.",2.0,Surveillance ?,SpO₂ et FR,Périmètre abdominal,Glycémie capillaire,Score de Braden,A,Correct! Évaluer l’oxygénation.,"Raisonner selon la sécurité du patient, les priorités ABC, et les protocoles du milieu. Identifier le problème principal, appliquer l’intervention recommandée et surveiller la réponse clinique. Revoir : lignes directrices du domaine concerné. Revoir : Paramètres respiratoires."
39,Infectiologie,INF001,"Mme Girard, 48 ans, toux productive, fièvre 38,5 °C, FR 24/min, SpO₂ 91% AA. Rx Thorax: foyer alvéolaire lobaire.",3.0,Éducation ?,Arrêter l’hydratation,"Sevrer tabac, hydratation, hygiène des mains",Éviter vaccins,Aérosols non prescrits,B,Correct! Prévention et rétablissement.,"Raisonner selon la sécurité du patient, les priorités ABC, et les protocoles du milieu. Identifier le problème principal, appliquer l’intervention recommandée et surveiller la réponse clinique. Revoir : lignes directrices du domaine concerné. Revoir : Éducation pneumonie."
40,Urgences / Soins critiques,URG002,"M. R., 23 ans, DT1, nausées, FR 28, haleine acétonique, glycémie 26 mmol/L, cétonurie +++, déshydratation.",1.0,Mesure initiale prioritaire ?,"Réhydratation IV NaCl 0,9 %",Insuline bolus immédiat sans bilan,Restriction hydrique,Glucides PO,A,Correct! Hydratation prioritaire dans la DKA.,"Réhydratation orale en pédiatrie : SRO 75 mL/kg/4 h (modérée), administrer en petites quantités fréquentes. Revoir : Déshydratation pédiatrique – plan de réhydratation. Revoir : DKA – priorités thérapeutiques."
41,Urgences / Soins critiques,URG002,"M. R., 23 ans, DT1, nausées, FR 28, haleine acétonique, glycémie 26 mmol/L, cétonurie +++, déshydratation.",2.0,Insuline IV à 6 U/h avec solution 1 U/mL. Débit mL/h ?,6 mL/h,"0,6 mL/h",60 mL/h,1 mL/h,A,Correct! 6 ÷ 1 = 6 mL/h.,"Réhydratation orale en pédiatrie : SRO 75 mL/kg/4 h (modérée), administrer en petites quantités fréquentes. Revoir : Déshydratation pédiatrique – plan de réhydratation. Basal-bolus : TDD ≈ 0,3–0,5 U/kg/j; répartir ~50% basal et ~50% bolus. Revoir : Perfusion d’insuline – calculs."
42,Urgences / Soins critiques,URG002,"M. R., 23 ans, DT1, nausées, FR 28, haleine acétonique, glycémie 26 mmol/L, cétonurie +++, déshydratation.",3.0,Quel signe indique l’amélioration ?,FR 30/min,Disparition cétonurie et amélioration conscience,TA 90/60,Glycémie 20 mmol/L,B,Correct! Normalisation neuro et cétones.,"Réhydratation orale en pédiatrie : SRO 75 mL/kg/4 h (modérée), administrer en petites quantités fréquentes. Revoir : Déshydratation pédiatrique – plan de réhydratation. Revoir : Paramètres de suivi DKA."
43,Cardiologie,CAR003,"M. Fortin, 76 ans, OAP aigu : dyspnée, orthopnée, crépitants bilatéraux, SpO₂ 84% AA, TA 168/96 mmHg, FC 118/min. ATCD : HTA, IC systolique. Signes vitaux : TA 88/56 mmHg, FC 128 bpm, FR 28/min, SpO2 89% à l’air ambiant, T° 38,9 °C. Résultats labo : Troponine élevée, D-dimères positifs, hémoglobine 112 g/L. Ordonnances : Oxygène 4 L/min, Soluté NaCl 0.9% IV 100 ml/h, Morphine 2 mg IV q4h PRN douleur.",1.0,Intervention immédiate prioritaire ?,Mettre en position de Trendelenburg,Oxygénothérapie haut débit et position Fowler,"Donner 1 L NaCl 0,9% en bolus",Administrer un AINS,B,Correct! Oxygénation et position assise améliorent l’échange gazeux.,"Œdème aigu du poumon : asseoir, oxygéner, diurétique IV, restriction hydrosodée. Un bolus rapide de soluté aggrave la congestion. Revoir : OAP – priorités et traitements. Étapes générales : 1) convertir les unités; 2) appliquer la formule; 3) arrondir selon protocole; 4) vérifier la cohérence clinique. Revoir : Priorités en OAP aigu."
44,Cardiologie,CAR003,"M. Fortin, 76 ans, OAP aigu : dyspnée, orthopnée, crépitants bilatéraux, SpO₂ 84% AA, TA 168/96 mmHg, FC 118/min. ATCD : HTA, IC systolique. Signes vitaux : TA 88/56 mmHg, FC 128 bpm, FR 28/min, SpO2 89% à l’air ambiant, T° 38,9 °C. Résultats labo : Troponine élevée, D-dimères positifs, hémoglobine 112 g/L. Ordonnances : Oxygène 4 L/min, Soluté NaCl 0.9% IV 100 ml/h, Morphine 2 mg IV q4h PRN douleur.",2.0,Une dose de furosémide 80 mg IV est prescrite. Ampoule 10 mg/mL. Quel volume ?,4 mL,6 mL,8 mL,10 mL,C,Correct! 80 ÷ 10 = 8 mL.,"Œdème aigu du poumon : asseoir, oxygéner, diurétique IV, restriction hydrosodée. Un bolus rapide de soluté aggrave la congestion. Revoir : OAP – priorités et traitements. Étapes générales : 1) convertir les unités; 2) appliquer la formule; 3) arrondir selon protocole; 4) vérifier la cohérence clinique. Revoir : Calcul de volume des diurétiques IV."
45,Cardiologie,CAR003,"M. Fortin, 76 ans, OAP aigu : dyspnée, orthopnée, crépitants bilatéraux, SpO₂ 84% AA, TA 168/96 mmHg, FC 118/min. ATCD : HTA, IC systolique. Signes vitaux : TA 88/56 mmHg, FC 128 bpm, FR 28/min, SpO2 89% à l’air ambiant, T° 38,9 °C. Résultats labo : Troponine élevée, D-dimères positifs, hémoglobine 112 g/L. Ordonnances : Oxygène 4 L/min, Soluté NaCl 0.9% IV 100 ml/h, Morphine 2 mg IV q4h PRN douleur.",3.0,Quel signe suggère une amélioration clinique ?,Augmentation des crépitants,SpO₂ 92% et diminution de la dyspnée,TA 90/50,FC 140/min,B,Correct! La remontée de la SpO₂ et la dyspnée moindre indiquent une amélioration.,"Œdème aigu du poumon : asseoir, oxygéner, diurétique IV, restriction hydrosodée. Un bolus rapide de soluté aggrave la congestion. Revoir : OAP – priorités et traitements. Étapes générales : 1) convertir les unités; 2) appliquer la formule; 3) arrondir selon protocole; 4) vérifier la cohérence clinique. Revoir : Indicateurs d’amélioration en IC/OAP."
46,Neurologie,NEU001,"M. Gendron, 66 ans, faiblesse hémicorporelle droite et dysarthrie depuis 70 minutes. TA 174/98, gly 6,2 mmol/L. Anticoagulants : aucun.",1.0,Action prioritaire ?,Scanner cérébral sans délai,IRM demain,Observation en salle d’attente,Administrer un laxatif,A,Correct! Imagerie urgente pour distinguer ischémie vs hémorragie.,"Raisonner selon la sécurité du patient, les priorités ABC, et les protocoles du milieu. Identifier le problème principal, appliquer l’intervention recommandée et surveiller la réponse clinique. Revoir : lignes directrices du domaine concerné. Étapes générales : 1) convertir les unités; 2) appliquer la formule; 3) arrondir selon protocole; 4) vérifier la cohérence clinique. Revoir : Fenêtre thérapeutique et imagerie en AVC."
47,Neurologie,NEU001,"M. Gendron, 66 ans, faiblesse hémicorporelle droite et dysarthrie depuis 70 minutes. TA 174/98, gly 6,2 mmol/L. Anticoagulants : aucun.",2.0,Message clé à la famille ?,Le temps n’est pas un facteur,Chaque minute compte pour le cerveau,Attendre 24 h n’est pas risqué,On verra selon la disponibilité,B,Correct! « Time is brain ».,"Raisonner selon la sécurité du patient, les priorités ABC, et les protocoles du milieu. Identifier le problème principal, appliquer l’intervention recommandée et surveiller la réponse clinique. Revoir : lignes directrices du domaine concerné. Étapes générales : 1) convertir les unités; 2) appliquer la formule; 3) arrondir selon protocole; 4) vérifier la cohérence clinique. Revoir : Urgence de la prise en charge en AVC."
48,Neurologie,NEU001,"M. Gendron, 66 ans, faiblesse hémicorporelle droite et dysarthrie depuis 70 minutes. TA 174/98, gly 6,2 mmol/L. Anticoagulants : aucun.",3.0,De quel effet indésirable doit-on s’assurer avant thrombolyse ?,Hypoglycémie sévère,Hémorragie intracrânienne,Douleur chronique,Insomnie,B,Correct! Une hémorragie intracrânienne est une contre-indication.,Suspicions d’AVC : imagerie cérébrale urgente pour distinguer ischémie vs hémorragie avant tout traitement. « Time is brain » : chaque minute compte. Revoir : AVC – imagerie initiale et fenêtres thérapeutiques. Étapes générales : 1) convertir les unités; 2) appliquer la formule; 3) arrondir selon protocole; 4) vérifier la cohérence clinique. Revoir : Contre-indications de la thrombolyse.
49,Pharmacologie / Calculs,PED005,"Fillette 6 ans, 20 kg, otite moyenne aiguë. Prescrire amoxicilline 45 mg/kg/jour en 2 prises.",1.0,Dose par prise (mg) ?,200 mg,450 mg,600 mg,900 mg,B,Correct! 45×20=900 mg/jour → 900/2 = 450 mg/prise.,"Raisonner selon la sécurité du patient, les priorités ABC, et les protocoles du milieu. Identifier le problème principal, appliquer l’intervention recommandée et surveiller la réponse clinique. Revoir : lignes directrices du domaine concerné. Méthode : dose (mg/kg) × poids (kg) = mg totaux; si nécessaire, convertir en volume selon la concentration. Revoir : Calculs pédiatriques mg/kg/jour en prises fractionnées."
50,Urgences / Soins critiques,URG003,"Jeune adulte, collision haute vélocité, TA 82/48, peau froide, confusion. Suspicion hémorragie interne.",1.0,Priorité selon ABC ?,Évaluation neuro d’abord,Assurer voie aérienne et oxygénation,Bilan douleur,Repas,B,Correct! A-B-C d’abord.,"Trauma : suivre l’algorithme ABC; protéger les voies aériennes, oxygéner, contrôler l’hémorragie et organiser l’équipe (code trauma). Revoir : Trauma – priorités ABC. Revoir : Algorithme ABC du trauma."
51,Urgences / Soins critiques,URG003,"Jeune adulte, collision haute vélocité, TA 82/48, peau froide, confusion. Suspicion hémorragie interne.",2.0,Organisation soins ?,Attendre le médecin,Activer code trauma et assigner rôles,Envoyer seul en imagerie,Confier à un seul intervenant,B,Correct! Coordination rapide nécessaire.,"Raisonner selon la sécurité du patient, les priorités ABC, et les protocoles du milieu. Identifier le problème principal, appliquer l’intervention recommandée et surveiller la réponse clinique. Revoir : lignes directrices du domaine concerné. Revoir : Protocoles trauma en équipe."
52,Urgences / Soins critiques,URG003,"Jeune adulte, collision haute vélocité, TA 82/48, peau froide, confusion. Suspicion hémorragie interne.",3.0,Indicateur d’hypoperfusion ?,25 mL/h,35 mL/h,50 mL/h,75 mL/h,B,"Correct! 0,5 × 70 = 35 mL/h.","Raisonner selon la sécurité du patient, les priorités ABC, et les protocoles du milieu. Identifier le problème principal, appliquer l’intervention recommandée et surveiller la réponse clinique. Revoir : lignes directrices du domaine concerné. Revoir : Seuils de diurèse en choc/IRA."
53,Santé communautaire / Santé publique,COM001,"Adolescent 16 ans, partenaires multiples, rapports non protégés; demande de dépistage ITSS. Asymptomatique.",1.0,Intervention la plus complète ?,Dépistage uniquement,Éducation + dépistage + condoms,Remettre une brochure,Reporter si asymptomatique,B,Correct! Approche intégrée prévention/dépistage.,"Prévention ITSS : éducation, dépistage, distribution de condoms; confidentialité renforcée chez les adolescents. Revoir : Santé communautaire – ITSS et vaccination VPH. Revoir : Prévention ITSS en clinique jeunesse."
54,Santé communautaire / Santé publique,COM001,"Adolescent 16 ans, partenaires multiples, rapports non protégés; demande de dépistage ITSS. Asymptomatique.",2.0,Confidentialité au Québec ?,Informer les parents automatiquement,Refuser soins,Respecter la confidentialité,Publier résultats,C,Correct! Confidentialité en santé sexuelle.,"Éthique et droit : respecter confidentialité, obtenir consentement libre et éclairé, divulguer incidents selon la procédure, documenter factuellement. Revoir : Code de déontologie et lois en vigueur. Revoir : Confidentialité/consentement mineurs (Québec)."
55,Santé communautaire / Santé publique,COM001,"Adolescent 16 ans, partenaires multiples, rapports non protégés; demande de dépistage ITSS. Asymptomatique.",3.0,Vaccination pertinente à vérifier ?,BCG,Rougeole seule,VPH,Rage,C,Correct! Vaccin VPH recommandé à l’adolescence.,"Prévention ITSS : éducation, dépistage, distribution de condoms; confidentialité renforcée chez les adolescents. Revoir : Santé communautaire – ITSS et vaccination VPH. Revoir : Calendrier vaccinal VPH."
56,Médecine et chirurgie,MED003,"M. G., 72 ans, warfarine; saignements gingivaux; INR 6,1. Hémodynamiquement stable.",1.0,Conduite prioritaire ?,Poursuivre AVK,Arrêt temporaire + vitamine K,Doubler la dose,Ne rien faire,B,Correct! Surdosage avec saignement.,"Surdosage AVK (INR élevé + saignements) : suspendre warfarine, administrer vitamine K, surveiller hémorragies et interactions (ATB, alcool). Revoir : Anticoagulation AVK – gestion du surdosage. Étapes générales : 1) convertir les unités; 2) appliquer la formule; 3) arrondir selon protocole; 4) vérifier la cohérence clinique. Revoir : Gestion surdosage AVK."
57,Médecine et chirurgie,MED003,"M. G., 72 ans, warfarine; saignements gingivaux; INR 6,1. Hémodynamiquement stable.",2.0,Surveillance prioritaire ?,Sommeil,Appétit,Signes d’hémorragie,Douleur chronique,C,Correct! Risque d’hémorragie majeure.,"Surdosage AVK (INR élevé + saignements) : suspendre warfarine, administrer vitamine K, surveiller hémorragies et interactions (ATB, alcool). Revoir : Anticoagulation AVK – gestion du surdosage. Revoir : Surveillance anticoagulants."
58,Médecine et chirurgie,MED003,"M. G., 72 ans, warfarine; saignements gingivaux; INR 6,1. Hémodynamiquement stable.",3.0,Éducation ?,Augmenter aliments riches en vitamine K sans avis,Interaction avec antibiotiques et alcool,Arrêter définitivement l’AVK,Boire moins d’eau,B,Correct! Certaines interactions augmentent l’INR.,"Surdosage AVK (INR élevé + saignements) : suspendre warfarine, administrer vitamine K, surveiller hémorragies et interactions (ATB, alcool). Revoir : Anticoagulation AVK – gestion du surdosage. Revoir : Interactions AVK."
59,Pédiatrie,PED002,"Nourrisson 10 kg, gastroentérite aiguë 24 h, muqueuses sèches, fontanelle légèrement déprimée, perte de poids estimée 5%. Signes vitaux : TA 92/60 mmHg, FC 140 bpm, FR 32/min, SpO2 95% à l’air ambiant, T° 38,2 °C. Résultats labo : CRP 65 mg/L, Leucocytes 16 x10^9/L. Ordonnances : Acétaminophène 15 mg/kg PO q6h PRN fièvre, Ceftriaxone IV.",1.0,Degré de déshydratation probable ?,Légère (<3%),Modérée (3–9%),Sévère (>10%),Impossible de conclure,B,Correct! Signes + perte de 5 % → déshydratation modérée.,"Réhydratation orale en pédiatrie : SRO 75 mL/kg/4 h (modérée), administrer en petites quantités fréquentes. Revoir : Déshydratation pédiatrique – plan de réhydratation. Méthode : dose (mg/kg) × poids (kg) = mg totaux; si nécessaire, convertir en volume selon la concentration. Revoir : Évaluation déshydratation pédiatrique."
60,Pédiatrie,PED002,"Nourrisson 10 kg, gastroentérite aiguë 24 h, muqueuses sèches, fontanelle légèrement déprimée, perte de poids estimée 5%. Signes vitaux : TA 92/60 mmHg, FC 140 bpm, FR 32/min, SpO2 95% à l’air ambiant, T° 38,2 °C. Résultats labo : CRP 65 mg/L, Leucocytes 16 x10^9/L. Ordonnances : Acétaminophène 15 mg/kg PO q6h PRN fièvre, Ceftriaxone IV.",2.0,Plan SRO 75 mL/kg/4 h : quel débit horaire ?,95 mL/h,150 mL/h,188 mL/h,225 mL/h,C,"Correct! 75×10=750 mL/4 h → 187,5 ≈ 188 mL/h.","Réhydratation orale en pédiatrie : SRO 75 mL/kg/4 h (modérée), administrer en petites quantités fréquentes. Revoir : Déshydratation pédiatrique – plan de réhydratation. Méthode : dose (mg/kg) × poids (kg) = mg totaux; si nécessaire, convertir en volume selon la concentration. Revoir : SRO et calculs de débit."
61,Pédiatrie,PED002,"Nourrisson 10 kg, gastroentérite aiguë 24 h, muqueuses sèches, fontanelle légèrement déprimée, perte de poids estimée 5%. Signes vitaux : TA 92/60 mmHg, FC 140 bpm, FR 32/min, SpO2 95% à l’air ambiant, T° 38,2 °C. Résultats labo : CRP 65 mg/L, Leucocytes 16 x10^9/L. Ordonnances : Acétaminophène 15 mg/kg PO q6h PRN fièvre, Ceftriaxone IV.",3.0,Conseil aux parents pendant la réhydratation ?,Arrêt des apports 12 h,Petits volumes fréquents,Donner du jus à volonté,Aucun suivi nécessaire,B,Correct! Fractionner les apports diminue le risque de vomissements.,"Raisonner selon la sécurité du patient, les priorités ABC, et les protocoles du milieu. Identifier le problème principal, appliquer l’intervention recommandée et surveiller la réponse clinique. Revoir : lignes directrices du domaine concerné. Méthode : dose (mg/kg) × poids (kg) = mg totaux; si nécessaire, convertir en volume selon la concentration. Revoir : Éducation parentale – gastro pédiatrique."
62,Gériatrie,GER-POLY-01,"Mme L., 84 ans, autonome partielle à domicile, admise pour pneumonie. Depuis 24 h : agitation, désorientation fluctuante. ATCD : HTA, arthrose. Médication : lorazépam PRN, diphénhydramine PRN, oxycodone PRN. SV : TA 138/72, FC 102, FR 22, SpO₂ 93% AA, T° 38,1 °C. Labos : Na⁺ 134, K⁺ 3,6, créatinine 118 µmol/L. Ordonnances : Ceftriaxone 1 g IV q24h, O₂ nasal 2 L/min, solution NaCl 0,9% 75 mL/h.",1.0,Diagnostic le plus probable ?,Démence,Délirium aigu,Dépression,Trouble anxieux,B,"Exact : début aigu, fluctuation et cause précipitante (infection/médicaments).","Pneumonie communautaire : antibiothérapie empirique, surveiller SpO₂/FR et éduquer (tabac, hydratation, vaccination). Revoir : Pneumonie – critères et traitement. Étapes générales : 1) convertir les unités; 2) appliquer la formule; 3) arrondir selon protocole; 4) vérifier la cohérence clinique. Revoir : Délirium vs démence – caractéristiques cliniques."
63,Gériatrie,GER-POLY-01,"Mme L., 84 ans, autonome partielle à domicile, admise pour pneumonie. Depuis 24 h : agitation, désorientation fluctuante. ATCD : HTA, arthrose. Médication : lorazépam PRN, diphénhydramine PRN, oxycodone PRN. SV : TA 138/72, FC 102, FR 22, SpO₂ 93% AA, T° 38,1 °C. Labos : Na⁺ 134, K⁺ 3,6, créatinine 118 µmol/L. Ordonnances : Ceftriaxone 1 g IV q24h, O₂ nasal 2 L/min, solution NaCl 0,9% 75 mL/h.",2.0,Médicament le plus susceptible d’aggraver le tableau ?,Acétaminophène,Diphenhydramine,Ceftriaxone,Vitamine D,B,Correct : anticholinergique connu pour précipiter un délirium chez l’aîné.,"Pneumonie communautaire : antibiothérapie empirique, surveiller SpO₂/FR et éduquer (tabac, hydratation, vaccination). Revoir : Pneumonie – critères et traitement. Étapes générales : 1) convertir les unités; 2) appliquer la formule; 3) arrondir selon protocole; 4) vérifier la cohérence clinique. Revoir : Anticholinergiques et délirium gériatrique."
64,Gériatrie,GER-POLY-01,"Mme L., 84 ans, autonome partielle à domicile, admise pour pneumonie. Depuis 24 h : agitation, désorientation fluctuante. ATCD : HTA, arthrose. Médication : lorazépam PRN, diphénhydramine PRN, oxycodone PRN. SV : TA 138/72, FC 102, FR 22, SpO₂ 93% AA, T° 38,1 °C. Labos : Na⁺ 134, K⁺ 3,6, créatinine 118 µmol/L. Ordonnances : Ceftriaxone 1 g IV q24h, O₂ nasal 2 L/min, solution NaCl 0,9% 75 mL/h.",3.0,Intervention prioritaire de l’infirmière ?,Contention systématique,Approche non pharmacologique + réorientation + sommeil,Augmenter benzodiazépine,Isoler sans visite,B,Correct : mesures non pharmacologiques en première ligne.,"Pneumonie communautaire : antibiothérapie empirique, surveiller SpO₂/FR et éduquer (tabac, hydratation, vaccination). Revoir : Pneumonie – critères et traitement. Étapes générales : 1) convertir les unités; 2) appliquer la formule; 3) arrondir selon protocole; 4) vérifier la cohérence clinique. Revoir : Interventions infirmières dans le délirium."
65,Gériatrie,GER-POLY-01,"Mme L., 84 ans, autonome partielle à domicile, admise pour pneumonie. Depuis 24 h : agitation, désorientation fluctuante. ATCD : HTA, arthrose. Médication : lorazépam PRN, diphénhydramine PRN, oxycodone PRN. SV : TA 138/72, FC 102, FR 22, SpO₂ 93% AA, T° 38,1 °C. Labos : Na⁺ 134, K⁺ 3,6, créatinine 118 µmol/L. Ordonnances : Ceftriaxone 1 g IV q24h, O₂ nasal 2 L/min, solution NaCl 0,9% 75 mL/h.",4.0,Surveillance essentielle associée ?,Glycémie horaire,"Diurèse, hydratation, douleur, environnement",Score Braden seulement,Poids quotidien,B,"Exact : facteurs réversibles (déshydratation, douleur) et environnement.","Pneumonie communautaire : antibiothérapie empirique, surveiller SpO₂/FR et éduquer (tabac, hydratation, vaccination). Revoir : Pneumonie – critères et traitement. Étapes générales : 1) convertir les unités; 2) appliquer la formule; 3) arrondir selon protocole; 4) vérifier la cohérence clinique. Revoir : Étiologies fréquentes et prévention du délirium."
66,Périnatalité,PER004,"Mme T., 35 SA, céphalées, phosphènes, TA 170/110, œdèmes, protéinurie +. Prescription : sulfate de magnésium, repos, surveillance fœtale.",1.0,Surveillance prioritaire sous MgSO₄ ?,"FR, ROT, diurèse",Température axillaire uniquement,Glycémie horaire,Selles,A,Correct! Prévenir toxicité respiratoire/neurologique.,"Prééclampsie sévère : prévenir l’éclampsie (MgSO₄), surveiller ROT/FR/diurèse et TA. Antidote : gluconate de calcium. Revoir : Prééclampsie/éclampsie – protocoles et surveillance. Étapes générales : 1) convertir les unités; 2) appliquer la formule; 3) arrondir selon protocole; 4) vérifier la cohérence clinique. Revoir : Toxicité MgSO₄ et antidote (gluconate Ca²⁺)."
67,Éthique et aspects légaux,PER004,"Mme T., 35 SA, céphalées, phosphènes, TA 170/110, œdèmes, protéinurie +. Prescription : sulfate de magnésium, repos, surveillance fœtale.",2.0,Consentement en cas de détresse imminente (Québec) ?,Toujours consentement écrit,Impossibilité d’agir,Soins requis peuvent être donnés,Attendre le conjoint,C,"Correct! En urgence, soins requis possibles selon la loi.","Éthique et droit : respecter confidentialité, obtenir consentement libre et éclairé, divulguer incidents selon la procédure, documenter factuellement. Revoir : Code de déontologie et lois en vigueur. Revoir : Consentement aux soins – situation d’urgence."
68,Oncologie,ONC001,"M. Picard, 62 ans, chimio récente. Fièvre 38,6 °C, frissons, TA 110/70, FC 108, FR 22. Numération : neutrophiles 0,3 ×10⁹/L.",1.0,Priorité infirmière ?,Administrer antipyrétique et observer,Isolement protecteur et avertir rapidement,Sortie de l’hôpital,Perfusion lente sans précaution,B,Correct! Neutropénie fébrile = urgence.,"Raisonner selon la sécurité du patient, les priorités ABC, et les protocoles du milieu. Identifier le problème principal, appliquer l’intervention recommandée et surveiller la réponse clinique. Revoir : lignes directrices du domaine concerné. Revoir : Neutropénie fébrile – précautions et prise en charge."
69,Oncologie,ONC001,"M. Picard, 62 ans, chimio récente. Fièvre 38,6 °C, frissons, TA 110/70, FC 108, FR 22. Numération : neutrophiles 0,3 ×10⁹/L.",2.0,Mesure de prévention des infections à enseigner ?,Éviter fruits/légumes,Hygiène des mains rigoureuse,Isoler toutes les visites,Port de masque N95 à la maison,B,Correct! L’hygiène des mains est essentielle.,"Raisonner selon la sécurité du patient, les priorités ABC, et les protocoles du milieu. Identifier le problème principal, appliquer l’intervention recommandée et surveiller la réponse clinique. Revoir : lignes directrices du domaine concerné. Revoir : Prévention des infections en neutropénie."
70,Oncologie,ONC001,"M. Picard, 62 ans, chimio récente. Fièvre 38,6 °C, frissons, TA 110/70, FC 108, FR 22. Numération : neutrophiles 0,3 ×10⁹/L.",3.0,Antibiothérapie : quand débuter idéalement ?,Dès les résultats de cultures,Dans l’heure suivant l’évaluation,Le lendemain,Après 24 h d’observation,B,Correct! Initiation rapide <1 h recommandée.,"Raisonner selon la sécurité du patient, les priorités ABC, et les protocoles du milieu. Identifier le problème principal, appliquer l’intervention recommandée et surveiller la réponse clinique. Revoir : lignes directrices du domaine concerné. Revoir : Recommandations neutropénie fébrile."
71,Santé communautaire / Santé publique,COM002,"M. N., 34 ans, logement communautaire, toux chronique, perte de poids. Suspicion de tuberculose; prélèvements en cours.",1.0,Mesure de santé publique appropriée ?,Isolement respiratoire,Aucune précaution,Isolement contact seulement,Sortie immédiate,A,Correct! Isolement aérien (gouttelettes fines).,"Tuberculose : isolement respiratoire, dépistage des contacts, observance thérapeutique (DOT). Revoir : TB – mesures de santé publique. Revoir : TB – précautions et santé publique."
72,Santé communautaire / Santé publique,COM002,"M. N., 34 ans, logement communautaire, toux chronique, perte de poids. Suspicion de tuberculose; prélèvements en cours.",2.0,Éducation clé ?,Arrêter traitement dès amélioration,Adhérence stricte (DOT si nécessaire),Aucun suivi nécessaire,Éviter toute vaccination,B,Correct! Observance indispensable pour éviter résistances.,"Tuberculose : isolement respiratoire, dépistage des contacts, observance thérapeutique (DOT). Revoir : TB – mesures de santé publique. Revoir : TB – observance thérapeutique."
73,Santé communautaire / Santé publique,COM002,"M. N., 34 ans, logement communautaire, toux chronique, perte de poids. Suspicion de tuberculose; prélèvements en cours.",3.0,Contact tracing ?,Inutile,Organisé par santé publique,Famille seulement,À la discrétion du patient,B,Correct! Traçage sous responsabilité de santé publique.,"Tuberculose : isolement respiratoire, dépistage des contacts, observance thérapeutique (DOT). Revoir : TB – mesures de santé publique. Revoir : TB – dépistage des contacts."
74,Santé mentale,PSY001,"M. Dubé, 28 ans, idées suicidaires avec plan concret et accès aux moyens. Ambivalent, coopérant.",1.0,Intervention prioritaire ?,Le laisser seul pour réfléchir,Surveillance constante et sécurisation,Informer la famille sans consentement,Donner un somnifère,B,Correct! Priorité à la sécurité.,"Risque suicidaire : priorité à la sécurité (surveillance constante, sécuriser l’environnement), évaluation structurée et documentation. Revoir : Suicidalité – mesures immédiates et cadre légal. Étapes générales : 1) convertir les unités; 2) appliquer la formule; 3) arrondir selon protocole; 4) vérifier la cohérence clinique. Revoir : Mesures immédiates en risque suicidaire."
75,Santé mentale,PSY001,"M. Dubé, 28 ans, idées suicidaires avec plan concret et accès aux moyens. Ambivalent, coopérant.",2.0,Aspects légaux au Québec ?,Ignorer s’il nie le risque,Tout partager aux proches,Appliquer protocoles de sécurité et documenter,Menacer d’hospitalisation punitive,C,Correct! Documentation et protocoles requis.,"Risque suicidaire : priorité à la sécurité (surveillance constante, sécuriser l’environnement), évaluation structurée et documentation. Revoir : Suicidalité – mesures immédiates et cadre légal. Étapes générales : 1) convertir les unités; 2) appliquer la formule; 3) arrondir selon protocole; 4) vérifier la cohérence clinique. Revoir : Cadre légal, consentement et sécurité."
76,Santé mentale,PSY001,"M. Dubé, 28 ans, idées suicidaires avec plan concret et accès aux moyens. Ambivalent, coopérant.",3.0,Élément de relation thérapeutique clé ?,Attitude jugeante,Écoute empathique,Minimiser ses propos,Éviter le sujet,B,Correct! L’écoute empathique favorise l’alliance.,"Risque suicidaire : priorité à la sécurité (surveillance constante, sécuriser l’environnement), évaluation structurée et documentation. Revoir : Suicidalité – mesures immédiates et cadre légal. Étapes générales : 1) convertir les unités; 2) appliquer la formule; 3) arrondir selon protocole; 4) vérifier la cohérence clinique. Revoir : Communication thérapeutique."
77,Pharmacologie / Calculs,PHAR-VANCO-04,"M. D., 82 kg, cellulite sévère; vancomycine IV à initier. Fonction rénale normale. SV : TA 126/74, FC 98, T° 38,6 °C. Ordonnance : dose de charge 15 mg/kg.",1.0,Calcul de la dose de charge (mg) à 15 mg/kg pour 82 kg :,1000 mg,1200 mg,1500 mg,2000 mg,B,Correct : 15 × 82 = 1230 mg → 1200 mg (arrondi protocole).,"Vancomycine : dose de charge selon mg/kg; perfuser lentement (≥60 min/1 g) pour éviter le Red man; surveiller fonction rénale et taux résiduels si prolongation. Revoir : Vancomycine – dosage et surveillance. Méthode : dose (mg/kg) × poids (kg) = mg totaux; si nécessaire, convertir en volume selon la concentration. Rappel : dose de charge fréquente 15–20 mg/kg selon protocole local; perfuser ≥60 min/1 g pour éviter le Red man. Revoir : Calculs mg/kg – vancomycine IV."
