id,theme,scenario_id,scenario_text,question_number,question,option_a,option_b,option_c,option_d,correct_answer,feedback_correct,feedback_incorrect
73,Éthique et aspects légaux,ETH001,"Mme C., 16 ans, demande contraception sans informer ses parents; elle est orientée et comprend.",3.0,Documenter : élément essentiel ?,Opinions personnelles,Jugement moral,Faits cliniques et décision éclairée,Commentaires des proches,C,Correct! Documentation factuelle et éclairée.,Revoir : Tenue de dossier et éthique.
74,Urgences / Soins critiques,URG002,"M. R., 23 ans, DT1, nausées, FR 28, haleine acétonique, glycémie 26 mmol/L, cétonurie +++, déshydratation.",1.0,Mesure initiale prioritaire ?,"Réhydratation IV NaCl 0,9 %",Insuline bolus immédiat sans bilan,Restriction hydrique,Glucides PO,A,Correct! Hydratation prioritaire dans la DKA.,Revoir : DKA – priorités thérapeutiques.
75,Urgences / Soins critiques,URG002,"M. R., 23 ans, DT1, nausées, FR 28, haleine acétonique, glycémie 26 mmol/L, cétonurie +++, déshydratation.",2.0,Insuline IV à 6 U/h avec solution 1 U/mL. Débit mL/h ?,6 mL/h,"0,6 mL/h",60 mL/h,1 mL/h,A,Correct! 6 ÷ 1 = 6 mL/h.,Revoir : Perfusion d’insuline – calculs.
76,Urgences / Soins critiques,URG002,"M. R., 23 ans, DT1, nausées, FR 28, haleine acétonique, glycémie 26 mmol/L, cétonurie +++, déshydratation.",3.0,Quel signe indique l’amélioration ?,FR 30/min,Disparition cétonurie et amélioration conscience,TA 90/60,Glycémie 20 mmol/L,B,Correct! Normalisation neuro et cétones.,Revoir : Paramètres de suivi DKA.
77,Médecine et chirurgie,MED004,"M. A., 69 ans, insuffisance rénale chronique, faiblesse musculaire. ECG : ondes T pointues. K+ sérique 6,8 mmol/L, TA 138/82.",1.0,Mesure prioritaire en présence d’ECG anormal ?,Résines échangeuses seules,Gluconate de calcium IV,Diurétiques thiazidiques,Restriction hydrique,B,Correct! Stabiliser la membrane myocardique d’abord.,Revoir : Hyperkaliémie – séquence de traitement.
78,Pharmacologie / Calculs,MED004,"M. A., 69 ans, insuffisance rénale chronique, faiblesse musculaire. ECG : ondes T pointues. K+ sérique 6,8 mmol/L, TA 138/82.",2.0,"Insuline régulière 10 U IV + dextrose 25 g. Ampoule D50W (0,5 g/mL). Quel volume pour 25 g ?",25 mL,40 mL,50 mL,100 mL,C,"Correct! 25 g ÷ 0,5 g/mL = 50 mL.",Revoir : Hyperkaliémie – insuline + dextrose (calculs).
79,Santé mentale,PSY001,"M. Dubé, 28 ans, idées suicidaires avec plan concret et accès aux moyens. Ambivalent, coopérant.",1.0,Intervention prioritaire ?,Le laisser seul pour réfléchir,Surveillance constante et sécurisation,Informer la famille sans consentement,Donner un somnifère,B,Correct! Priorité à la sécurité.,Revoir : Mesures immédiates en risque suicidaire.
80,Santé mentale,PSY001,"M. Dubé, 28 ans, idées suicidaires avec plan concret et accès aux moyens. Ambivalent, coopérant.",2.0,Aspects légaux au Québec ?,Ignorer s’il nie le risque,Tout partager aux proches,Appliquer protocoles de sécurité et documenter,Menacer d’hospitalisation punitive,C,Correct! Documentation et protocoles requis.,"Revoir : Cadre légal, consentement et sécurité."
81,Santé mentale,PSY001,"M. Dubé, 28 ans, idées suicidaires avec plan concret et accès aux moyens. Ambivalent, coopérant.",3.0,Élément de relation thérapeutique clé ?,Attitude jugeante,Écoute empathique,Minimiser ses propos,Éviter le sujet,B,Correct! L’écoute empathique favorise l’alliance.,Revoir : Communication thérapeutique.
82,Éthique et aspects légaux,ETH003,"M. P., 52 ans, orienté dans le temps et l’espace, refuse une transfusion sanguine. Il comprend les risques.",1.0,Conduite conforme ?,Forcer le traitement,Respecter le refus et documenter consentement éclairé,Cacher l’information,Obtenir consentement de la famille,B,Correct! Respect de l’autonomie et documentation.,Revoir : Consentement et refus de traitement (Québec).
83,Communication et relation thérapeutique,ETH003,"M. P., 52 ans, orienté dans le temps et l’espace, refuse une transfusion sanguine. Il comprend les risques.",2.0,Approche recommandée ?,Attitude jugeante,Explorer valeurs/craintes et proposer alternatives,Menacer de poursuites,Éviter toute discussion,B,Correct! Communication centrée sur la personne.,Revoir : Alliance thérapeutique et décisions partagées.
84,Médecine et chirurgie,MED002,"M. Roy, 74 ans, vomissements, diarrhées 3 jours, TA 88/56, FC 116, diurèse 0,3 mL/kg/h.",1.0,Hypothèse la plus probable ?,IRA prérénale par hypovolémie,IRA postrénale,Glomérulonéphrite,Syndrome néphrotique,A,Correct! Déshydratation + oligurie.,Revoir : IRA prérénale – signes et prise en charge.
85,Médecine et chirurgie,MED002,"M. Roy, 74 ans, vomissements, diarrhées 3 jours, TA 88/56, FC 116, diurèse 0,3 mL/kg/h.",2.0,Intervention prioritaire ?,Diurétiques IV,"Remplissage NaCl 0,9 %",Restriction hydrique,AINS,B,Correct! Réanimation volémique.,Revoir : Hypovolémie et IRA.
86,Médecine et chirurgie,MED002,"M. Roy, 74 ans, vomissements, diarrhées 3 jours, TA 88/56, FC 116, diurèse 0,3 mL/kg/h.",3.0,"Calcul : poids 70 kg; diurèse souhaitée ≥0,5 mL/kg/h. Volume minimal/h ?",25 mL/h,35 mL/h,50 mL/h,75 mL/h,C,"Correct! 0,5 × 70 = 35 mL/h (Ajuster).",Revoir : Seuils de diurèse en choc/IRA.
87,Pédiatrie,PED003,"Nouveau-né 3 jours, ictère cutané conjonctival, allaité, prise de poids adéquate, TA stable, température normale.",1.0,Mesure initiale appropriée ?,Photothérapie immédiate systématique,Évaluer bilirubine sérique ou transcutanée,Arrêt de l’allaitement,Déshabiller et exposer au soleil direct,B,Correct! Mesurer bilirubine pour décider.,Revoir : Conduite devant un ictère néonatal.
88,Pédiatrie,PED003,"Nouveau-né 3 jours, ictère cutané conjonctival, allaité, prise de poids adéquate, TA stable, température normale.",2.0,Conseil aux parents ?,Espacer les tétées,Maintenir allaitement et surveillance,Donner eau sucrée,Aucun suivi nécessaire,B,Correct! Allaitement fréquent aide l’élimination.,Revoir : Éducation ictère néonatal.
89,Pédiatrie,PED003,"Nouveau-né 3 jours, ictère cutané conjonctival, allaité, prise de poids adéquate, TA stable, température normale.",3.0,Signe d’alerte nécessitant évaluation urgente ?,"Somnolence extrême, refus de s’alimenter",Selles jaunes,Cris brefs,Sommeil 2 h d’affilée,A,Correct! Risque d’encéphalopathie bilirubinique.,Revoir : Bilirubinémie et signes d’alarme.
90,Infectiologie,INF003,"Mme P., 26 ans, dysurie, pollakiurie, brûlures mictionnelles, afébrile. Test bandelette : nitrites+, leucocytes+.",1.0,Conduite appropriée ?,Antibiothérapie courte + hydratation,Diurétiques,Observation sans traitement,Hospitalisation systématique,A,Correct! Cystite simple : traitement court et hydratation.,Revoir : Cystite non compliquée – prise en charge.
91,Communication et relation thérapeutique,INF003,"Mme P., 26 ans, dysurie, pollakiurie, brûlures mictionnelles, afébrile. Test bandelette : nitrites+, leucocytes+.",2.0,Conseil ?,Limiter l’hydratation,Poursuivre hygiène mictionnelle et hydratation,Antibiotiques à chaque symptôme,Aucun suivi nécessaire,B,Correct! Mesures préventives simples utiles.,Revoir : Prévention récidives cystite.
92,Infectiologie,INF002,"Mme Denis, 32 ans, fièvre 39 °C, douleur lombaire, dysurie. TA 112/68, FR 18. Analyse urine: nitrites+, leucocytes+.",1.0,Diagnostic probable ?,Cystite non compliquée,Pyélonéphrite aiguë,Lithiase asymptomatique,Glomérulonéphrite,B,Correct! Fièvre + douleur lombaire + BU positive.,Revoir : Pyélonéphrite – signes et traitement.
93,Infectiologie,INF002,"Mme Denis, 32 ans, fièvre 39 °C, douleur lombaire, dysurie. TA 112/68, FR 18. Analyse urine: nitrites+, leucocytes+.",2.0,Intervention prioritaire ?,Antibiothérapie IV/PO selon sévérité,Antalgique seul,Attendre sans traiter,Diurétiques,A,Correct! Antibiothérapie rapide.,Revoir : Prise en charge pyélonéphrite.
94,Infectiologie,INF002,"Mme Denis, 32 ans, fièvre 39 °C, douleur lombaire, dysurie. TA 112/68, FR 18. Analyse urine: nitrites+, leucocytes+.",3.0,Éducation clé ?,Diminuer hydratation,Hydratation adéquate et signes d’alarme,Arrêt des antibiotiques dès amélioration,Aucune culture nécessaire,B,Correct! Hydratation + suivi.,Revoir : Conseils pyélonéphrite.
95,Périnatalité,PER004,"Mme T., 35 SA, céphalées, phosphènes, TA 170/110, œdèmes, protéinurie +. Prescription : sulfate de magnésium, repos, surveillance fœtale.",1.0,Surveillance prioritaire sous MgSO₄ ?,"FR, ROT, diurèse",Température axillaire uniquement,Glycémie horaire,Selles,A,Correct! Prévenir toxicité respiratoire/neurologique.,Revoir : Toxicité MgSO₄ et antidote (gluconate Ca²⁺).
96,Éthique et aspects légaux,PER004,"Mme T., 35 SA, céphalées, phosphènes, TA 170/110, œdèmes, protéinurie +. Prescription : sulfate de magnésium, repos, surveillance fœtale.",2.0,Consentement en cas de détresse imminente (Québec) ?,Toujours consentement écrit,Impossibilité d’agir,Soins requis peuvent être donnés,Attendre le conjoint,C,"Correct! En urgence, soins requis possibles selon la loi.",Revoir : Consentement aux soins – situation d’urgence.
97,Pédiatrie,PED004,"Nouveau-né 36 h, hypothermie 35,8 °C, léthargie, succion faible. Mère : rupture prématurée des membranes 28 h.",1.0,Conduite prioritaire ?,Attente et observation,Antibiothérapie IV empirique après prélèvements,Sortie à domicile,Dextrose PO seulement,B,Correct! Antibiothérapie rapide après prélèvements.,Revoir : Suspicion de sepsis néonatal – prise en charge.
98,Pharmacologie / Calculs,PED004,"Nouveau-né 36 h, hypothermie 35,8 °C, léthargie, succion faible. Mère : rupture prématurée des membranes 28 h.",2.0,"Amikacine 15 mg/kg/dose. Poids 3,2 kg. Dose (mg) ?",24 mg,32 mg,48 mg,64 mg,C,"Correct! 15 × 3,2 = 48 mg.",Revoir : Calculs mg/kg en néonatalogie.
99,Santé communautaire / Santé publique,COM002,"M. N., 34 ans, logement communautaire, toux chronique, perte de poids. Suspicion de tuberculose; prélèvements en cours.",1.0,Mesure de santé publique appropriée ?,Isolement respiratoire,Aucune précaution,Isolement contact seulement,Sortie immédiate,A,Correct! Isolement aérien (gouttelettes fines).,Revoir : TB – précautions et santé publique.
100,Santé communautaire / Santé publique,COM002,"M. N., 34 ans, logement communautaire, toux chronique, perte de poids. Suspicion de tuberculose; prélèvements en cours.",2.0,Éducation clé ?,Arrêter traitement dès amélioration,Adhérence stricte (DOT si nécessaire),Aucun suivi nécessaire,Éviter toute vaccination,B,Correct! Observance indispensable pour éviter résistances.,Revoir : TB – observance thérapeutique.
101,Santé communautaire / Santé publique,COM002,"M. N., 34 ans, logement communautaire, toux chronique, perte de poids. Suspicion de tuberculose; prélèvements en cours.",3.0,Contact tracing ?,Inutile,Organisé par santé publique,Famille seulement,À la discrétion du patient,B,Correct! Traçage sous responsabilité de santé publique.,Revoir : TB – dépistage des contacts.
102,Chirurgie orthopédique,ORT001,"Mme Bouchard, 68 ans, post-op PTH gauche (J0). Douleur importante, pâleur, pied froid, pouls pédieux absent.",1.0,Intervention prioritaire ?,Analgesie d’abord,Aviser immédiatement le chirurgien,Glace uniquement,Surélever la jambe,B,Correct! Suspicion d’ischémie aiguë.,Revoir : Complications vasculaires post-orthopédie.
103,Chirurgie orthopédique,ORT001,"Mme Bouchard, 68 ans, post-op PTH gauche (J0). Douleur importante, pâleur, pied froid, pouls pédieux absent.",2.0,Donnée à documenter en priorité ?,Couleur et température du pied,Pansement,Score douleur seulement,Température centrale,A,Correct! Perfusion distale.,Revoir : Surveillance neurovasculaire.
104,Chirurgie orthopédique,ORT001,"Mme Bouchard, 68 ans, post-op PTH gauche (J0). Douleur importante, pâleur, pied froid, pouls pédieux absent.",3.0,Conséquence d’un retard d’intervention ?,Embolie pulmonaire,Perte du membre,Pneumonie,Hypoglycémie,B,Correct! Ischémie prolongée → nécrose.,Revoir : Urgence vasculaire post-op.
105,Pharmacologie / Calculs,HEM001,"Mme J., 74 ans, TVP confirmée. Prescription : Héparine non fractionnée, seringue de perfusion 25 000 UI dans 250 mL. Débit initial 1000 UI/h.",1.0,Quel débit mL/h correspond à 1000 UI/h ?,5 mL/h,10 mL/h,20 mL/h,40 mL/h,B,Correct! 25 000 UI/250 mL = 100 UI/mL → 1000 UI/h = 10 mL/h.,Revoir : Conversion UI/h → mL/h (héparine).
106,Médecine et chirurgie,HEM001,"Mme J., 74 ans, TVP confirmée. Prescription : Héparine non fractionnée, seringue de perfusion 25 000 UI dans 250 mL. Débit initial 1000 UI/h.",2.0,Surveillance prioritaire au début de traitement ?,EVA douleur,"Saignements, Hb/plaquettes",Glycémie,IMC,B,Correct! Risque hémorragique et thrombopénie induite.,Revoir : Anticoagulation – surveillance initiale.
107,Gériatrie,GER001,"Mme Tremblay, 82 ans, hospitalisée pour pneumonie, devient confuse et agitée soudainement. ATCD: HTA, polymédication.",1.0,Diagnostic le plus probable ?,Maladie d’Alzheimer,AVC,Délirium aigu,Dépression,C,Correct! Début soudain en contexte aigu.,Revoir : Délirium vs démence.
108,Gériatrie,GER001,"Mme Tremblay, 82 ans, hospitalisée pour pneumonie, devient confuse et agitée soudainement. ATCD: HTA, polymédication.",2.0,Intervention prioritaire ?,Anxiolytique d’emblée,Réorienter et sécuriser l’environnement,Contention systématique,Isolement complet,B,Correct! Approche non pharmacologique d’abord.,Revoir : Interventions infirmières dans le délirium.
109,Gériatrie,GER001,"Mme Tremblay, 82 ans, hospitalisée pour pneumonie, devient confuse et agitée soudainement. ATCD: HTA, polymédication.",3.0,Facteur contributif fréquent à rechercher ?,Consommation caféine,Médicaments anticholinergiques/opioïdes,Nombre d’enfants,Antécédent d’allergies saisonnières,B,Correct! Médicaments déclenchent souvent un délirium.,Revoir : Iatrogénie médicamenteuse gériatrique.
110,Cardiologie,CAR001,"M. Lavoie, 59 ans, douleur thoracique oppressive depuis 45 min, irradiant au bras gauche. Diaphorétique, nauséeux. TA 92/58 mmHg, FC 54/min, SpO₂ 93% AA. ECG: ST+ en V2–V4. Allergies: AAS tolérée.",1.0,Quelle est la priorité immédiate de l’infirmière ?,Oxygénothérapie à 2–4 L/min,Administrer l’AAS à croquer,Poser un cathéter urinaire,Administrer un bêtabloquant IM,B,Correct! L’administration rapide d’AAS à croquer diminue la mortalité du SCA.,Revoir : SCA – protocole MONA modifié (AAS prioritaire).
111,Cardiologie,CAR001,"M. Lavoie, 59 ans, douleur thoracique oppressive depuis 45 min, irradiant au bras gauche. Diaphorétique, nauséeux. TA 92/58 mmHg, FC 54/min, SpO₂ 93% AA. ECG: ST+ en V2–V4. Allergies: AAS tolérée.",2.0,Quel paramètre doit être surveillé de près après la nitroglycérine SL ?,Température axillaire,Pression artérielle,Glycémie capillaire,Saturation en O₂,B,Correct! Risque d’hypotension après la nitroglycérine.,Revoir : Effets et contre-indications de la nitroglycérine.
112,Cardiologie,CAR001,"M. Lavoie, 59 ans, douleur thoracique oppressive depuis 45 min, irradiant au bras gauche. Diaphorétique, nauséeux. TA 92/58 mmHg, FC 54/min, SpO₂ 93% AA. ECG: ST+ en V2–V4. Allergies: AAS tolérée.",3.0,Une perfusion de nitroglycérine IV 20 mg/250 mL doit débuter à 10 mcg/min. Quel débit mL/h ?,"1,5 mL/h","3,0 mL/h","7,5 mL/h",15 mL/h,C,"Correct! 20 mg=20000 mcg; 20000/250=80 mcg/mL; 10 mcg/min=600 mcg/h; 600/80 ≈ 7,5 mL/h.",Revoir : Conversion mcg/min → mL/h selon la concentration.
113,Pédiatrie,PED002,"Nourrisson 10 kg, gastroentérite aiguë 24 h, muqueuses sèches, fontanelle légèrement déprimée, perte de poids estimée 5%.",1.0,Degré de déshydratation probable ?,Légère (<3%),Modérée (3–9%),Sévère (>10%),Impossible de conclure,B,Correct! Signes + perte de 5 % → déshydratation modérée.,Revoir : Évaluation déshydratation pédiatrique.
114,Pédiatrie,PED002,"Nourrisson 10 kg, gastroentérite aiguë 24 h, muqueuses sèches, fontanelle légèrement déprimée, perte de poids estimée 5%.",2.0,Plan SRO 75 mL/kg/4 h : quel débit horaire ?,95 mL/h,150 mL/h,188 mL/h,225 mL/h,C,"Correct! 75×10=750 mL/4 h → 187,5 ≈ 188 mL/h.",Revoir : SRO et calculs de débit.
115,Pédiatrie,PED002,"Nourrisson 10 kg, gastroentérite aiguë 24 h, muqueuses sèches, fontanelle légèrement déprimée, perte de poids estimée 5%.",3.0,Conseil aux parents pendant la réhydratation ?,Arrêt des apports 12 h,Petits volumes fréquents,Donner du jus à volonté,Aucun suivi nécessaire,B,Correct! Fractionner les apports diminue le risque de vomissements.,Revoir : Éducation parentale – gastro pédiatrique.
116,Urgences / Soins critiques,ALL001,"M. C., 34 ans, après injection d’antibiotique : urticaire généralisée, stridor, TA 78/46, SpO₂ 88% AA. Antécédents d’allergies : inconnus.",1.0,Intervention IMMEDIATE prioritaire ?,Adrénaline IM face antérolatérale cuisse,Antihistaminique IV,Corticostéroïde IV,Oxygène seul,A,Correct! Adrénaline IM est le traitement de première intention.,Revoir : Anaphylaxie – protocole initial (adrénaline IM).
117,Médecine et chirurgie,ALL001,"M. C., 34 ans, après injection d’antibiotique : urticaire généralisée, stridor, TA 78/46, SpO₂ 88% AA. Antécédents d’allergies : inconnus.",2.0,Oxygénothérapie recommandée en phase aiguë ?,O₂ haut débit selon saturation,Air ambiant,Hélium seul,Venturi 24% fixe,A,Correct! Assurer une oxygénation adéquate en urgence.,Revoir : Oxygénothérapie en anaphylaxie.
118,Pharmacologie / Calculs,ALL001,"M. C., 34 ans, après injection d’antibiotique : urticaire généralisée, stridor, TA 78/46, SpO₂ 88% AA. Antécédents d’allergies : inconnus.",3.0,"Adrénaline 1 mg/mL (1:1000). Dose adulte 0,5 mg IM. Quel volume ?","0,05 mL","0,5 mL",1 mL,5 mL,B,"Correct! 0,5 mg ÷ 1 mg/mL = 0,5 mL.",Revoir : Calculs de doses d’adrénaline IM (1:1000).
119,Éthique et aspects légaux,ETH002,Une erreur de médication (dose doublée) a été commise et constatée par l’infirmière. Le patient est stable.,1.0,Conduite professionnelle ?,Cacher l’erreur,"Informer le patient et l’équipe, documenter",Effacer la trace au dossier,Blâmer un collègue,B,Correct! Transparence et déclaration.,Revoir : Déontologie – divulgation d’un événement indésirable.
120,Éthique et aspects légaux,ETH002,Une erreur de médication (dose doublée) a été commise et constatée par l’infirmière. Le patient est stable.,2.0,Priorité clinique ?,Évaluer le patient et surveiller effets indésirables,Fermer le dossier,Changer d’unité,Aucune mesure,A,Correct! Sécurité du patient d’abord.,Revoir : Gestion des incidents et sécurité.
121,Éthique et aspects légaux,ETH002,Une erreur de médication (dose doublée) a été commise et constatée par l’infirmière. Le patient est stable.,3.0,Prévention ?,Désactiver codes-barres,Vérification indépendante haut-risque,Supprimer la double vérification,Étiquetage minimal,B,Correct! Meds haut-risque = double vérification.,Revoir : Sécurité médicamenteuse.
122,Urgences / Soins critiques,GAST001,"M. F., 64 ans, méléna, lipothymies. ATCD : AINS, alcool. TA 88/54, FC 124. Hb 84 g/L.",1.0,Priorité ?,Remplissage IV et préparation transfusionnelle,Donner laxatif,Alimentation PO,Sortie,A,Correct! Instabilité hémodynamique → réanimation.,Revoir : Hémorragie digestive – prise en charge initiale.
123,Médecine et chirurgie,GAST001,"M. F., 64 ans, méléna, lipothymies. ATCD : AINS, alcool. TA 88/54, FC 124. Hb 84 g/L.",2.0,Surveillance clé ?,Diurèse horaire,Périmètre crânien,Échelle CIWA-Ar,Score Braden,A,Correct! Suivi perfusion rénale.,Revoir : Choc hypovolémique – surveillance diurèse.
124,Question rafales,,,,1,Valeur normale de la fréquence cardiaque chez un adulte?,50-70/min,60-100/min,90-120/min,100-140/min,B,Correct! La fréquence cardiaque normale chez l’adulte est de 60 à 100 battements/min.
125,Question rafales,,,,2,Valeur normale de la température corporelle?,35-36°C,36-38°C,37-39°C,38-40°C,B,Correct! La température normale est de 36 à 38°C.
126,Question rafales,,,,3,Valeur normale de la saturation en oxygène (SpO2) chez un adulte en santé?,85-90%,90-92%,93-95%,95-100%,D,Correct! La SpO2 normale est de 95 à 100%.
127,Question rafales,,,,4,Valeur normale de la fréquence respiratoire adulte?,8-12/min,12-20/min,18-28/min,20-30/min,B,Correct! La fréquence respiratoire normale est de 12 à 20/min.
128,Question rafales,,,,5,Valeur normale de la tension artérielle adulte?,100/50 mmHg,120/80 mmHg,140/90 mmHg,160/100 mmHg,B,Correct! La TA normale est d’environ 120/80 mmHg.
129,Question rafales,,,,6,Valeur normale de la diurèse adulte?,0.2 ml/kg/h,0.5 ml/kg/h,1 ml/kg/h,2 ml/kg/h,B,"Correct! La diurèse normale est ≥0,5 ml/kg/h."
130,Question rafales,,,,7,Valeur normale du pouls radial chez l’adulte?,40-60/min,60-100/min,100-120/min,120-150/min,B,Correct! Le pouls radial normal est de 60 à 100/min.
131,Question rafales,,,,8,Valeur normale du pH sanguin artériel?,7.20-7.30,7.30-7.40,7.35-7.45,7.45-7.55,C,Correct! Le pH artériel normal est 7.35-7.45.
132,Question rafales,,,,9,Valeur normale de la glycémie à jeun?,2-4 mmol/L,3.5-7 mmol/L,6-10 mmol/L,7-11 mmol/L,B,Correct! La glycémie à jeun normale est de 3.5 à 7 mmol/L.
133,Question rafales,,,,10,Valeur normale du potassium sérique?,2-3 mmol/L,3.5-5 mmol/L,5-7 mmol/L,7-9 mmol/L,B,Correct! La kaliémie normale est de 3.5 à 5 mmol/L.
134,Question rafales,,,,11,Valeur normale de l’hémoglobine chez la femme adulte?,80-100 g/L,110-140 g/L,140-160 g/L,160-180 g/L,B,Correct! Hémoglobine femme : 110-140 g/L.
135,Question rafales,,,,12,Valeur normale des leucocytes?,1-4 x10^9/L,4-11 x10^9/L,11-15 x10^9/L,15-20 x10^9/L,B,Correct! Leucocytes normaux : 4-11 x10^9/L.
136,Question rafales,,,,13,Valeur normale de la créatinine sérique adulte?,10-40 µmol/L,50-100 µmol/L,100-200 µmol/L,>200 µmol/L,B,Correct! Créatinine normale : 50-100 µmol/L.
137,Question rafales,,,,14,Valeur normale du sodium sérique?,120-130 mmol/L,130-140 mmol/L,135-145 mmol/L,145-155 mmol/L,C,Correct! Natrémie normale : 135-145 mmol/L.
138,Question rafales,,,,15,Valeur normale du calcium sérique total?,1.0-1.5 mmol/L,1.5-2.0 mmol/L,2.0-2.5 mmol/L,2.5-3.0 mmol/L,C,Correct! Calcémie totale normale : 2.0-2.5 mmol/L.
139,Question rafales,,,,16,Un soluté de 1000 ml doit être administré en 8 h. Débit en ml/h?,100,120,125,150,C,Correct! 1000/8 = 125 ml/h.
140,Question rafales,,,,17,Un soluté de 500 ml doit passer en 4 h. Débit en gouttes/min (20 gtt/ml)?,30,36,40,42,C,Correct! 500 ml / 240 min = 2.08 ml/min → 42 gtt/min.
141,Question rafales,,,,18,Un patient doit recevoir 2 mg/kg de morphine. Poids : 70 kg. Dose totale?,100 mg,120 mg,140 mg,160 mg,C,Correct! 2 x 70 = 140 mg.
142,Question rafales,,,,19,Un enfant de 20 kg doit recevoir 15 mg/kg d’amoxicilline. Dose totale?,200 mg,250 mg,300 mg,350 mg,B,Correct! 20 x 15 = 300 mg → option B corrigée
143,Question rafales,,,,20,"Un patient doit recevoir 0,5 g de ceftriaxone. Flacon : 1 g/10 ml. Volume à prélever?",2 ml,5 ml,7 ml,10 ml,B,Correct! 0.5 g = 5 ml.
144,Question rafales,,,,21,Une infirmière surprend une collègue en train de consulter le dossier d’un patient dont elle n’a pas la charge. Que doit-elle faire?,Ne rien dire,Informer le patient,Signaler selon la procédure interne,Partager l’info avec l’équipe,C,"Correct! C’est une atteinte à la confidentialité, il faut signaler."
145,Question rafales,,,,22,Un patient refuse un traitement. Quelle est la première action de l’infirmière?,Forcer le traitement,Respecter le refus et informer le médecin,Convaincre le patient,Consigner uniquement,B,"Correct! Respect de l’autonomie, informer le médecin."
146,Question rafales,,,,23,Un étudiant en soins infirmiers administre un médicament sans supervision. Que doit faire l’infirmière responsable?,Ignorer,Consigner,Encadrer et signaler,Punir,C,Correct! Assurer encadrement et signalement.
147,Question rafales,,,,24,Une infirmière publie une photo d’un patient sur les réseaux sociaux sans consentement. Quelle règle est violée?,Autonomie,Bienfaisance,Confidentialité,Justice,C,Correct! C’est une violation de la confidentialité.
148,Question rafales,,,,25,"Si un incident se produit (erreur de médication), que doit faire l’infirmière?",Cacher l’erreur,Informer le médecin et remplir un rapport,Attendre que le patient remarque,Donner un autre médicament,B,Correct! Transparence et déclaration immédiate.
149,Question rafales,,,,26,Un patient présente une réaction anaphylactique. Première intervention?,Administrer antihistaminique,Donner O2,Administrer adrénaline IM,Installer soluté IV,C,Correct! Adrénaline IM est prioritaire.
150,Question rafales,,,,27,Un patient inconscient sans respiration. Première action?,Appeler à l’aide et commencer RCR,Donner O2,Installer IV,Prendre TA,A,Correct! RCR immédiate.
151,Question rafales,,,,28,Un patient présente une hypoglycémie sévère (glycémie 2 mmol/L). Intervention prioritaire?,Administrer glucagon IM,Donner insuline,Installer perfusion NaCl,Observer,A,Correct! Glucagon IM ou glucose IV.
152,Question rafales,,,,29,Un patient fait une crise d’épilepsie. Première intervention?,Maintenir les voies respiratoires et sécurité,Immobiliser,Donner médicament oral,Noter la durée après la crise,A,Correct! Protéger et maintenir VA.
153,Question rafales,,,,30,Un patient se plaint de douleur thoracique soudaine. Intervention prioritaire?,Donner analgésique,Donner O2 et surveiller,"Informer médecin, ECG rapide",Attendre voir si ça passe,C,Correct! ECG rapide + informer médecin.
